tcp_packets,tcp_source_port,tcp_destination_port,tcp_fin_flag,tcp_syn_flag,tcp_push_flag,tcp_ack_flag,tcp_urgent_flag,udp_packets,udp_source_port,udp_destination_port,icmp_packets,target
30,3,3,0,0,10,30,0,4,2,2,0,1
92,3,3,2,0,5,89,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,1
9,2,2,0,2,2,8,0,2,2,2,0,1
6,2,2,0,0,3,6,0,0,0,0,0,1
147,3,3,0,0,4,147,0,0,0,0,0,1
490,2,2,0,0,0,490,0,1,1,1,0,1
269,2,2,0,0,0,269,0,0,0,0,0,1
145,2,2,2,0,2,143,0,3,1,1,0,1
0,0,0,0,0,0,0,0,3,3,3,0,1
13,2,2,0,2,5,12,0,0,0,0,0,1
23,2,2,0,0,9,23,0,0,0,0,0,1
44,2,2,2,0,6,42,0,1,1,1,0,1
43,3,3,3,4,19,39,0,0,0,0,0,1
20,4,4,2,2,7,19,0,0,0,0,0,1
20,2,2,2,0,9,18,0,1,1,1,0,1
0,0,0,0,0,0,0,0,0,0,0,0,1
13,2,2,0,2,5,12,0,0,0,0,0,1
0,0,0,0,0,0,0,0,3,2,2,0,1
167,2,2,2,0,58,165,0,0,0,0,0,1
4,2,2,0,2,1,3,0,4,1,1,0,1
11,2,2,0,0,4,11,0,1,1,1,0,1
20,2,2,0,0,6,20,0,0,0,0,0,1
95,3,3,2,0,19,92,0,0,0,0,0,1
28,2,2,2,2,12,25,0,2,2,2,0,1
1,1,1,0,1,0,0,0,0,0,0,0,1
47,3,3,3,3,20,44,0,0,0,0,0,1
0,0,0,0,0,0,0,0,1,1,1,0,1
13,2,2,0,2,5,12,0,5,3,3,0,1
19,2,2,2,0,4,17,0,0,0,0,0,1
42,3,3,3,4,19,37,0,1,1,1,0,1
0,0,0,0,0,0,0,0,0,0,0,0,1
4,2,2,0,2,1,3,0,0,0,0,0,1
7,2,2,0,0,4,7,0,1,1,1,0,1
0,0,0,0,0,0,0,0,0,0,0,0,1
63,2,2,0,0,17,63,0,0,0,0,0,1
93,2,2,2,0,17,91,0,1,1,1,0,1
0,0,0,0,0,0,0,0,0,0,0,0,1
15,2,2,0,2,5,14,0,7,2,2,0,1
73,2,2,0,0,13,73,0,2,2,2,0,1
73,4,4,3,0,3,69,0,4,1,1,0,1
11,2,2,0,2,5,10,0,0,0,0,0,1
14,2,2,0,0,3,14,0,1,1,1,0,1
279,2,2,2,0,3,277,0,0,0,0,0,1
15,2,2,0,2,5,14,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,1
25,2,2,0,0,7,25,0,0,0,0,0,1
63,2,2,2,0,10,61,0,0,0,0,0,1
201,2,2,2,2,9,198,0,2,1,1,0,1
0,0,0,0,0,0,0,0,0,0,0,0,1
13,2,2,0,2,5,12,0,0,0,0,0,1
0,0,0,0,0,0,0,0,1,1,1,0,1
4,2,2,0,0,1,4,0,0,0,0,0,1
70,2,2,2,0,5,68,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,1
15,2,2,0,2,5,14,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,1
135,2,2,2,0,18,133,0,1,1,1,0,1
0,0,0,2,2,11,152,0,166,8,8,0,1
0,0,0,0,0,0,0,0,0,0,0,0,1
33,2,2,4,4,20,56,0,38,7,7,0,1
0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,2,4,15,0,24,6,6,0,1
0,0,0,6,4,15,124,0,131,8,8,0,1
0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,1
13,2,2,0,2,5,12,0,1,1,1,0,1
0,0,0,0,0,0,0,0,8,1,1,0,1
79,2,2,2,0,4,77,0,3,1,1,0,1
35,4,4,2,2,14,30,0,1,1,1,0,1
0,0,0,0,0,0,0,0,0,0,0,0,1
9,2,2,0,2,1,8,0,0,0,0,0,1
21,4,4,2,0,10,17,0,1,1,1,0,1
13,2,2,0,2,5,12,0,0,0,0,0,1
10,2,2,2,0,3,8,0,0,0,0,0,1
33,3,3,2,4,12,28,0,5,4,4,0,1
15,5,5,2,0,4,9,0,0,0,0,0,1
29,4,4,0,4,10,27,0,0,0,0,0,1
11,4,4,4,0,2,9,0,6,4,4,0,1
11,2,2,0,2,5,10,0,0,0,0,0,1
89,2,2,2,0,15,87,0,4,1,1,0,1
0,0,0,0,0,0,0,0,1,1,1,0,1
10,2,2,0,2,5,9,0,0,0,0,0,1
1,1,1,0,0,0,1,0,0,0,0,0,1
0,0,0,0,0,0,0,0,1,1,1,0,1
136,2,2,2,0,21,134,0,0,0,0,0,1
35,5,5,1,4,14,31,0,0,0,0,0,1
19,2,2,2,0,5,17,0,3,3,3,0,1
56,3,3,4,4,17,50,0,3,1,1,0,1
10,2,2,0,2,5,9,0,0,0,0,0,1
19,2,2,2,0,5,17,0,1,1,1,0,1
34,2,2,2,2,10,31,0,0,0,0,0,1
4,2,2,0,2,1,3,0,0,0,0,0,1
14,2,2,0,0,5,14,0,1,1,1,0,1
82,2,2,2,0,5,80,0,0,0,0,0,1
37,5,5,0,6,15,34,0,0,0,0,0,1
24,5,5,6,0,1,24,0,3,3,3,0,1
40,2,2,2,2,14,37,0,0,0,0,0,1
0,0,0,0,0,0,0,0,3,1,1,0,1
18,2,2,0,2,9,17,0,1,1,1,0,1
10,2,2,2,0,3,8,0,7,4,4,0,1
0,0,0,0,0,0,0,0,0,0,0,0,1
13,2,2,0,2,5,12,0,1,1,1,0,1
16,5,5,2,0,2,12,0,0,0,0,0,1
10,2,2,0,2,3,9,0,0,0,0,0,1
24,4,4,2,0,4,22,0,1,1,1,0,1
0,0,0,0,0,0,0,0,0,0,0,0,1
13,2,2,0,2,5,12,0,0,0,0,0,1
0,0,0,0,0,0,0,0,4,2,2,0,1
101,2,2,2,0,14,99,0,0,0,0,0,1
11,2,2,0,2,5,10,0,0,0,0,0,1
17,2,2,2,0,8,15,0,1,1,1,0,1
27,2,2,2,2,12,24,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,1
33,3,3,2,4,12,28,0,0,0,0,0,1
11,2,2,2,0,6,9,0,0,0,0,0,1
48,3,3,3,4,19,44,0,0,0,0,0,1
0,0,0,0,0,0,0,0,1,1,1,0,1
14,2,2,0,2,5,13,0,3,1,1,0,1
8,2,2,0,0,3,8,0,0,0,0,0,1
49,2,2,2,0,7,47,0,5,2,2,0,1
11,2,2,0,2,5,10,0,0,0,0,0,1
99,2,2,0,0,8,99,0,0,0,0,0,1
5,2,2,2,0,1,3,0,1,1,1,0,1
0,0,0,0,0,0,0,0,0,0,0,0,1
13,2,2,0,2,5,12,0,0,0,0,0,1
160,2,2,2,0,23,158,0,1,1,1,0,1
10,2,2,0,2,3,9,0,0,0,0,0,1
3,2,2,0,0,2,3,0,3,1,1,0,1
88,2,2,2,0,11,86,0,1,1,1,0,1
4,2,2,0,2,1,3,0,0,0,0,0,1
7,2,2,0,0,4,7,0,0,0,0,0,1
0,0,0,0,0,0,0,0,1,1,1,0,1
78,2,2,2,0,6,76,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,1
24,5,5,2,2,9,19,0,1,1,1,0,1
3,2,2,0,2,0,2,0,0,0,0,0,1
13,2,2,2,0,7,11,0,0,0,0,0,1
0,0,0,0,0,0,0,0,8,5,5,0,1
13,2,2,0,2,5,12,0,0,0,0,0,1
72,2,2,2,0,11,70,0,8,1,1,0,1
0,0,0,0,0,0,0,0,1,1,1,0,1
11,4,4,0,4,3,9,0,0,0,0,0,1
54,5,5,6,2,13,53,0,0,0,0,0,1
0,0,0,0,0,0,0,0,3,3,3,0,1
3,2,2,0,2,0,2,0,0,0,0,0,1
42,3,3,3,2,19,39,0,0,0,0,0,1
13,2,2,0,2,5,12,0,3,3,3,0,1
9,2,2,2,0,3,7,0,3,1,1,0,1
23,4,4,2,4,7,21,0,0,0,0,0,1
29,2,2,0,0,3,29,0,1,1,1,0,1
60,2,2,2,0,2,58,0,0,0,0,0,1
24,2,2,2,2,10,21,0,0,0,0,0,1
0,0,0,0,0,0,0,0,1,1,1,0,1
13,2,2,0,2,5,12,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,1
69,2,2,2,0,4,67,0,1,1,1,0,1
0,0,0,0,0,0,0,0,0,0,0,0,1
8,2,2,0,2,3,7,0,3,1,1,0,1
167,7,7,2,2,15,159,0,1,1,1,0,1
0,0,0,0,0,0,0,0,3,1,1,0,1
13,2,2,0,2,5,12,0,0,0,0,0,1
61,2,2,2,0,5,59,0,1,1,1,0,1
0,0,0,0,0,0,0,0,0,0,0,0,1
22,4,4,0,4,8,20,0,4,1,1,0,1
37,5,5,6,2,9,36,0,1,1,1,0,1
10,2,2,0,2,3,9,0,0,0,0,0,1
44,5,5,5,2,17,35,0,0,0,0,0,1
0,0,0,0,0,0,0,0,4,2,2,0,1
6,3,3,0,2,1,5,0,0,0,0,0,1
32,2,2,2,0,6,32,0,0,0,0,0,1
0,0,0,0,0,0,0,0,3,3,3,0,1
13,2,2,0,2,5,12,0,0,0,0,0,1
81,2,2,0,0,29,81,0,0,0,0,0,1
33,2,2,2,0,6,31,0,1,1,1,0,1
50,2,2,2,2,12,47,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,1
20,3,2,2,3,8,16,0,1,1,1,0,1
33,3,3,2,1,15,30,0,2,1,1,0,1
4,2,2,0,2,1,3,0,0,0,0,0,1
56,3,3,2,0,9,54,0,4,2,2,0,1
24,2,2,2,2,10,21,0,0,0,0,0,1
4,2,2,0,2,1,3,0,0,0,0,0,1
12,2,2,2,0,6,10,0,1,1,1,0,1
0,0,0,0,0,0,0,0,0,0,0,0,1
13,2,2,0,2,5,12,0,0,0,0,0,1
84,2,2,2,0,4,82,0,1,1,1,0,1
4,2,2,0,2,1,3,0,0,0,0,0,1
24,2,2,2,0,11,22,0,3,1,1,0,1
28,6,6,2,2,7,21,0,1,1,1,0,1
0,0,0,0,0,0,0,0,0,0,0,0,1
15,2,2,0,2,5,14,0,0,0,0,0,1
17,2,2,2,0,5,15,0,1,1,1,0,1
0,0,0,0,0,0,0,0,0,0,0,0,1
13,2,2,0,2,5,12,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,1
55,2,2,2,0,2,53,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,1,0,1,0,0,0,3,2,2,0,1
35,2,2,2,2,10,32,0,0,0,0,0,1
0,0,0,0,0,0,2,0,6,3,3,0,1
0,0,0,0,0,0,0,0,5,4,4,0,1
13,2,2,0,2,5,12,0,0,0,0,0,1
92,2,2,2,0,7,90,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,1
23,4,4,2,4,7,21,0,0,0,0,0,1
10,2,2,2,0,3,8,0,0,0,0,0,1
23,4,4,2,4,7,21,0,1,1,1,0,1
8,2,2,2,0,2,6,0,4,2,2,0,1
0,0,0,0,0,0,0,0,0,0,0,0,1
36,5,5,4,4,9,32,0,2,2,2,0,1
0,0,0,0,0,0,0,0,0,0,0,0,1
24,4,4,2,4,7,22,0,0,0,0,0,1
11,2,2,2,0,2,9,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,1
23,4,4,2,4,7,21,0,0,0,0,0,1
0,0,0,0,0,0,0,0,1,1,1,0,1
87,2,2,2,0,9,85,0,0,0,0,0,1
15,2,2,0,2,5,14,0,3,1,1,0,1
47,2,2,0,0,14,47,0,1,1,1,0,1
82,3,3,2,0,11,80,0,4,1,1,0,1
0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,2,2,11,184,0,188,3,3,0,1
0,0,0,0,0,0,0,0,3,1,1,0,1
0,0,0,0,0,0,0,0,0,0,0,0,1
43,2,2,0,2,6,42,0,5,4,4,0,1
57,2,2,3,0,1,57,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,1
310,2,2,0,2,10,309,0,7,4,4,0,1
6,3,3,2,0,1,5,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,1
20,5,5,1,2,7,17,0,4,3,4,0,1
0,0,0,0,0,0,0,0,0,0,0,0,1
12,2,2,0,2,5,11,0,0,0,0,0,1
1,1,1,0,0,0,1,0,1,1,1,0,1
97,2,2,2,0,8,95,0,0,0,0,0,1
28,5,5,3,4,8,20,0,0,0,0,0,1
33,2,2,2,0,14,31,0,1,1,1,0,1
0,0,0,2,2,10,36,0,47,8,7,0,1
0,0,0,0,0,0,0,0,0,0,0,0,1
11,2,2,0,2,5,10,0,6,3,3,0,1
11,3,3,0,0,2,11,0,0,0,0,0,1
12,2,2,2,0,3,12,0,4,1,1,0,1
0,0,0,2,3,8,22,0,29,7,6,0,1
0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,2,1,10,202,0,203,3,3,0,1
15,2,2,0,2,5,14,0,0,0,0,0,1
0,0,0,0,0,0,0,0,3,1,1,0,1
57,2,2,0,0,1,57,0,1,1,1,0,1
60,3,3,2,0,3,58,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,1
13,2,2,0,2,5,12,0,1,1,1,0,1
59,2,2,2,0,10,57,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,1
27,2,2,2,2,12,24,0,1,1,1,0,1
0,0,0,0,0,0,0,0,0,0,0,0,1
22,2,2,2,2,8,19,0,0,0,0,0,1
0,0,0,0,2,7,20,0,29,7,7,0,1
0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,2,2,12,49,0,56,6,6,0,1
0,0,0,4,2,14,58,0,70,9,9,0,1
0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,1
15,2,2,0,2,5,14,0,1,1,1,0,1
110,2,2,2,0,6,108,0,0,0,0,0,1
0,0,0,0,0,0,0,0,4,1,1,0,1
21,4,4,2,4,7,19,0,1,1,1,0,1
12,2,2,2,1,4,10,0,16,6,5,0,1
0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,6,6,18,63,0,71,10,10,0,1
0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,6,4,15,71,0,77,5,5,0,1
0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,3,1,1,0,1
0,0,0,0,2,6,13,0,16,4,4,0,1
0,0,0,2,0,3,27,0,31,3,3,0,1
0,0,0,0,0,0,0,0,0,0,0,0,1
10,2,2,0,2,3,9,0,1,1,1,0,1
3,2,2,0,0,2,3,0,0,0,0,0,1
79,2,2,1,0,3,79,0,0,0,0,0,1
4,2,2,1,0,1,2,0,1,1,1,0,1
40,3,3,3,4,16,36,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,1
28,2,2,2,2,11,25,0,4,2,2,0,1
0,0,0,0,0,0,0,0,0,0,0,0,1
4,2,2,0,2,1,3,0,0,0,0,0,1
32,2,2,2,0,15,30,0,1,1,1,0,1
58,3,3,4,4,23,51,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,3,3,3,0,1
43,3,3,3,4,17,39,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,1
7,4,4,0,4,1,5,0,1,1,1,0,1
17,4,4,2,0,6,17,0,3,1,1,0,1
139,2,2,0,0,7,139,0,0,0,0,0,1
15,2,2,2,0,3,13,0,5,2,2,0,1
0,0,0,0,0,0,0,0,0,0,0,0,1
11,2,2,0,2,5,10,0,0,0,0,0,1
68,2,2,0,0,6,68,0,1,1,1,0,1
43,5,5,2,0,5,38,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,1
43,7,7,0,6,15,38,0,1,1,1,0,1
24,5,5,6,0,1,24,0,0,0,0,0,1
29,2,2,2,2,8,28,0,3,1,1,0,1
15,2,2,0,2,6,14,0,1,1,1,0,1
4,2,2,2,0,1,4,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,1
44,7,7,2,6,15,34,0,1,1,1,0,1
91,3,3,4,0,8,89,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,1
4,2,2,0,2,1,3,0,1,1,1,0,1
11,2,2,0,0,4,11,0,0,0,0,0,1
57,2,2,0,0,3,57,0,0,0,0,0,1
54,2,2,2,0,2,52,0,4,2,2,0,1
15,2,2,0,2,5,14,0,0,0,0,0,1
0,0,0,0,0,0,0,0,4,1,1,0,1
121,2,2,2,0,8,119,0,1,1,1,0,1
0,0,0,0,0,0,0,0,0,0,0,0,1
20,5,5,1,2,7,15,0,0,0,0,0,1
37,2,2,2,2,16,34,0,1,1,1,0,1
0,0,0,0,0,0,0,0,0,0,0,0,1
13,2,2,0,2,5,12,0,0,0,0,0,1
18,2,2,2,0,9,16,0,1,1,1,0,1
0,0,0,0,0,0,0,0,3,1,1,0,1
13,2,2,0,2,5,12,0,0,0,0,0,1
265,2,2,0,0,8,265,0,1,1,1,0,1
455,2,2,0,0,1,455,0,0,0,0,0,1
783,2,2,0,0,4,783,0,0,0,0,0,1
63,2,2,2,0,3,61,0,0,0,0,0,1
40,4,4,2,2,7,37,0,0,0,0,0,1
10,2,2,0,2,5,9,0,0,0,0,0,1
1,1,1,0,0,0,1,0,1,1,1,0,1
85,2,2,2,0,5,83,0,0,0,0,0,1
0,0,0,0,0,0,0,0,3,1,1,0,1
11,2,2,0,2,5,10,0,1,1,1,0,1
9,2,2,2,0,4,7,0,3,3,3,0,1
0,0,0,0,0,0,0,0,0,0,0,0,1
20,2,2,2,2,7,17,0,1,1,1,0,1
11,2,2,0,2,5,10,0,0,0,0,0,1
0,0,0,0,0,0,0,0,4,1,1,0,1
77,5,5,2,0,6,71,0,1,1,1,0,1
14,2,2,0,2,6,13,0,0,0,0,0,1
33,6,6,4,2,8,26,0,0,0,0,0,1
26,3,3,1,4,12,24,0,5,4,4,0,1
18,2,2,2,0,7,16,0,0,0,0,0,1
61,2,2,2,2,9,58,0,0,0,0,0,1
10,2,2,0,2,3,9,0,1,1,1,0,1
20,2,2,2,0,11,18,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,1
22,2,2,2,2,8,19,0,3,3,3,0,1
4,2,2,0,2,1,3,0,0,0,0,0,1
11,2,2,0,0,4,11,0,0,0,0,0,1
0,0,0,0,0,0,0,0,1,1,1,0,1
93,2,2,2,0,5,91,0,3,1,1,0,1
0,0,0,0,0,0,0,0,0,0,0,0,1
49,3,3,4,4,20,42,0,5,2,2,0,1
12,2,2,0,2,5,11,0,0,0,0,0,1
1,1,1,0,0,0,1,0,0,0,0,0,1
112,5,5,2,0,8,106,0,1,1,1,0,1
24,4,4,2,2,7,19,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,1
19,2,2,2,2,7,16,0,1,1,1,0,1
20,2,2,2,2,7,17,0,0,0,0,0,1
13,2,2,0,2,5,12,0,7,2,2,0,1
178,2,2,2,0,23,176,0,1,1,1,0,1
4,2,2,0,2,1,3,0,0,0,0,0,1
7,2,2,0,0,4,7,0,0,0,0,0,1
0,0,0,0,0,0,0,0,1,1,1,0,1
88,2,2,2,0,5,86,0,0,0,0,0,1
44,3,3,3,4,19,39,0,0,0,0,0,1
10,2,2,0,2,3,9,0,1,1,1,0,1
3,2,2,0,0,2,3,0,0,0,0,0,1
87,2,2,2,0,4,85,0,0,0,0,0,1
0,0,0,0,0,0,0,0,4,2,2,0,1
12,2,2,0,2,3,11,0,0,0,0,0,1
3,2,2,0,0,2,3,0,0,0,0,0,1
68,4,4,2,0,7,64,0,1,1,1,0,1
4,2,2,0,2,1,3,0,0,0,0,0,1
28,2,2,2,0,13,26,0,0,0,0,0,1
0,0,0,0,0,0,0,0,1,1,1,0,1
13,2,2,0,2,5,12,0,0,0,0,0,1
124,2,2,2,0,17,122,0,0,0,0,0,1
4,2,2,0,2,1,3,0,1,1,1,0,1
47,6,6,3,2,19,40,0,3,1,1,0,1
4,2,2,0,2,1,3,0,0,0,0,0,1
22,2,2,2,0,7,20,0,1,1,1,0,1
0,0,0,0,0,0,0,0,0,0,0,0,1
24,4,4,2,4,7,22,0,0,0,0,0,1
11,2,2,2,0,4,9,0,1,1,1,0,1
25,4,4,2,4,7,23,0,0,0,0,0,1
10,2,2,2,0,2,8,0,0,0,0,0,1
0,0,0,0,0,0,0,0,3,3,3,0,1
26,4,4,2,4,7,24,0,0,0,0,0,1
119,2,2,2,0,6,117,0,3,1,1,0,1
0,0,0,0,0,0,0,0,2,2,2,0,1
15,2,2,0,2,5,14,0,2,1,1,0,1
0,0,0,0,0,0,0,0,0,0,0,0,1
118,2,2,2,0,6,116,0,1,1,1,0,1
0,0,0,0,0,0,0,0,0,0,0,0,1
37,2,2,2,2,10,34,0,0,0,0,0,1
15,2,2,0,2,5,14,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,1
103,2,2,2,0,9,101,0,4,2,2,0,1
32,3,3,2,4,12,27,0,0,0,0,0,1
21,2,2,2,0,7,19,0,0,0,0,0,1
15,2,2,0,2,5,14,0,1,1,1,0,1
16,4,4,2,0,7,12,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,1
45,3,3,4,4,19,38,0,1,1,1,0,1
0,0,0,0,0,0,0,0,0,0,0,0,1
13,2,2,0,2,5,12,0,0,0,0,0,1
0,0,0,0,0,0,0,0,1,1,1,0,1
156,4,4,2,0,7,152,0,2,1,1,0,1
1,1,1,0,1,0,0,0,0,0,0,0,1
35,3,3,3,3,14,34,0,5,2,2,0,1
8,3,3,1,2,2,5,0,0,0,0,0,1
7,2,2,0,0,4,7,0,0,0,0,0,1
0,0,0,0,0,0,0,0,1,1,1,0,1
74,2,2,0,0,3,74,0,0,0,0,0,1
30,2,2,2,0,4,28,0,0,0,0,0,1
0,0,0,0,0,0,0,0,1,1,1,0,1
22,2,2,2,2,10,19,0,0,0,0,0,1
0,0,0,0,0,0,0,0,2,1,1,0,1
20,2,2,2,2,7,17,0,3,3,3,0,1
13,2,2,0,2,5,12,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,1
103,2,2,2,0,6,101,0,1,1,1,0,1
30,3,3,1,4,13,28,0,0,0,0,0,1
19,2,2,2,0,7,17,0,0,0,0,0,1
0,0,0,0,0,0,0,0,1,1,1,0,1
31,3,3,2,2,12,28,0,0,0,0,0,1
11,3,3,2,3,2,9,0,0,0,0,0,1
28,3,3,2,5,13,35,0,19,9,9,0,1
0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,2,12,32,0,41,7,7,0,1
0,0,0,8,2,12,59,0,63,9,9,0,1
0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,1
15,2,2,0,2,5,14,0,0,0,0,0,1
0,0,0,0,0,0,0,0,3,1,1,0,1
0,0,0,0,0,0,0,0,1,1,1,0,1
104,2,2,2,0,16,102,0,3,1,1,0,1
0,0,0,0,0,0,0,0,0,0,0,0,1
15,2,2,0,2,5,14,0,1,1,1,0,1
38,2,2,2,0,7,36,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,1
13,2,2,0,2,5,12,0,3,3,3,0,1
13,2,2,2,0,6,11,0,0,0,0,0,1
21,2,2,2,2,8,18,0,0,0,0,0,1
13,2,2,0,2,5,12,0,1,1,1,0,1
0,0,0,0,0,0,0,0,0,0,0,0,1
133,2,2,2,0,6,131,0,3,1,1,0,1
14,2,2,0,2,5,13,0,1,1,1,0,1
22,4,4,2,0,8,18,0,4,1,1,0,1
15,2,2,0,2,5,14,0,0,0,0,0,1
0,0,0,0,0,0,0,0,1,1,1,0,1
0,0,0,0,0,0,0,0,0,0,0,0,1
27,2,2,0,0,5,27,0,0,0,0,0,1
166,2,2,2,0,15,164,0,1,1,1,0,1
12,2,2,0,2,5,11,0,0,0,0,0,1
1,1,1,0,0,0,1,0,0,0,0,0,1
0,0,0,0,0,0,0,0,4,2,2,0,1
0,0,0,0,0,0,0,0,0,0,0,0,1
123,2,2,2,0,7,121,0,4,1,1,0,1
0,0,0,0,0,0,0,0,1,1,1,0,1
13,2,2,0,2,5,12,0,0,0,0,0,1
68,5,5,2,2,13,63,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,2,0,1,13,0,14,3,3,0,1
0,0,0,0,2,5,15,0,19,3,3,0,1
0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,2,2,8,46,0,52,5,5,0,1
0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,2,0,3,29,0,32,5,5,0,1
0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,1
15,2,2,0,2,5,14,0,1,1,1,0,1
91,2,2,0,0,15,91,0,0,0,0,0,1
38,2,2,2,0,7,36,0,2,1,1,0,1
0,0,0,0,2,4,10,0,16,6,6,0,1
