time, protocol, source_port, destination_port, fin_flag, syn_flag, push_flag, ack_flag, urgent_flag, target
2020-02-26 15:50:00.737734,6,443,41014,0,0,0,1,0,normal
2020-02-26 15:50:00.738238,6,443,41014,0,0,1,1,0,normal
2020-02-26 15:50:00.738262,6,41014,443,0,0,0,1,0,normal
2020-02-26 15:50:00.738292,6,443,41014,0,0,1,1,0,normal
2020-02-26 15:50:00.738304,6,41014,443,0,0,0,1,0,normal
2020-02-26 15:50:00.738322,6,443,41014,0,0,0,1,0,normal
2020-02-26 15:50:00.738702,6,443,41014,0,0,1,1,0,normal
2020-02-26 15:50:00.738719,6,41014,443,0,0,0,1,0,normal
2020-02-26 15:50:00.738736,6,443,41014,0,0,1,1,0,normal
2020-02-26 15:50:00.738743,6,41014,443,0,0,0,1,0,normal
2020-02-26 15:50:00.738755,6,443,41014,0,0,1,1,0,normal
2020-02-26 15:50:00.738760,6,41014,443,0,0,0,1,0,normal
2020-02-26 15:50:00.769778,6,443,41014,0,0,0,1,0,normal
2020-02-26 15:50:00.769807,6,41014,443,0,0,0,1,0,normal
2020-02-26 15:50:00.771130,6,443,41014,0,0,0,1,0,normal
2020-02-26 15:50:00.772411,6,443,41014,0,0,0,1,0,normal
2020-02-26 15:50:00.772431,6,41014,443,0,0,0,1,0,normal
2020-02-26 15:50:00.772670,6,443,41014,0,0,0,1,0,normal
2020-02-26 15:50:00.773797,6,443,41014,0,0,0,1,0,normal
2020-02-26 15:50:00.773818,6,41014,443,0,0,0,1,0,normal
2020-02-26 15:50:00.774769,6,443,41014,0,0,0,1,0,normal
2020-02-26 15:50:00.775880,6,443,41014,0,0,0,1,0,normal
2020-02-26 15:50:00.775900,6,41014,443,0,0,0,1,0,normal
2020-02-26 15:50:00.776684,6,443,41014,0,0,0,1,0,normal
2020-02-26 15:50:00.778187,6,443,41014,0,0,0,1,0,normal
2020-02-26 15:50:00.778207,6,41014,443,0,0,0,1,0,normal
2020-02-26 15:50:00.779535,6,443,41014,0,0,0,1,0,normal
2020-02-26 15:50:00.780427,6,443,41014,0,0,0,1,0,normal
2020-02-26 15:50:00.780447,6,41014,443,0,0,0,1,0,normal
2020-02-26 15:50:00.781402,6,443,41014,0,0,0,1,0,normal
2020-02-26 15:50:00.782386,6,443,41014,0,0,0,1,0,normal
2020-02-26 15:50:00.782409,6,41014,443,0,0,0,1,0,normal
2020-02-26 15:50:00.783582,6,443,41014,0,0,0,1,0,normal
2020-02-26 15:50:00.784567,6,443,41014,0,0,0,1,0,normal
2020-02-26 15:50:00.784590,6,41014,443,0,0,0,1,0,normal
2020-02-26 15:50:00.785553,6,443,41014,0,0,0,1,0,normal
2020-02-26 15:50:00.786830,6,443,41014,0,0,0,1,0,normal
2020-02-26 15:50:00.786854,6,41014,443,0,0,0,1,0,normal
2020-02-26 15:50:00.787824,6,443,41014,0,0,0,1,0,normal
2020-02-26 15:50:00.789505,6,443,41014,0,0,0,1,0,normal
2020-02-26 15:50:00.789526,6,41014,443,0,0,0,1,0,normal
2020-02-26 15:50:00.795682,6,443,41014,0,0,0,1,0,normal
2020-02-26 15:50:00.796913,6,443,41014,0,0,0,1,0,normal
2020-02-26 15:50:00.796935,6,41014,443,0,0,0,1,0,normal
2020-02-26 15:50:00.797890,6,443,41014,0,0,0,1,0,normal
2020-02-26 15:50:00.798898,6,443,41014,0,0,0,1,0,normal
2020-02-26 15:50:00.798921,6,41014,443,0,0,0,1,0,normal
2020-02-26 15:50:00.802442,6,443,41014,0,0,0,1,0,normal
2020-02-26 15:50:00.802467,6,41014,443,0,0,0,1,0,normal
2020-02-26 15:50:00.803031,6,443,41014,0,0,0,1,0,normal
2020-02-26 15:50:00.804289,6,443,41014,0,0,0,1,0,normal
2020-02-26 15:50:00.804309,6,41014,443,0,0,0,1,0,normal
2020-02-26 15:50:00.805299,6,443,41014,0,0,0,1,0,normal
2020-02-26 15:50:00.807005,6,443,41014,0,0,0,1,0,normal
2020-02-26 15:50:00.807026,6,41014,443,0,0,0,1,0,normal
