tcp_packets,tcp_source_port,tcp_destination_port,tcp_fin_flag,tcp_syn_flag,tcp_push_flag,tcp_ack_flag,tcp_urgent_flag,udp_packets,udp_source_port,udp_destination_port,icmp_packets,target
0,0,0,0,0,0,0,0,1,1,1,0,1
0,0,0,0,0,0,0,0,4,4,3,0,1
22,3,3,0,4,10,20,0,91,6,7,0,1
51,2,2,0,0,3,51,0,1,1,1,0,1
105,3,3,4,0,19,101,0,1,1,1,0,1
17,3,3,0,4,6,15,0,8,6,6,0,1
28,4,3,2,1,10,25,0,1,1,1,0,1
73,3,3,4,1,12,71,0,4,4,3,0,1
2,2,2,1,0,0,2,0,3,3,3,0,1
35,3,3,2,2,12,32,0,1,1,1,0,1
0,0,0,0,0,0,0,0,1,1,1,0,1
13,2,2,0,2,5,12,0,2,2,2,0,1
39,2,2,2,2,11,36,0,5,4,4,0,1
69,6,6,2,2,9,62,0,3,2,2,0,1
24,2,2,2,0,3,24,0,4,3,3,0,1
15,2,2,0,2,6,14,0,7,5,5,0,1
120,3,3,4,2,12,117,0,1,1,1,0,1
29,4,4,0,4,12,26,0,3,3,3,0,1
46,3,3,3,0,2,46,0,3,2,2,0,1
48,4,4,2,2,7,44,0,4,3,4,0,1
0,0,0,0,0,0,0,0,2,2,2,0,1
105,6,6,2,2,22,128,0,33,4,4,0,1
0,0,0,2,0,1,86,0,89,4,4,0,1
0,0,0,2,2,11,158,0,167,7,7,0,1
0,0,0,0,0,0,0,0,1,1,1,0,1
0,0,0,0,2,15,55,0,61,6,6,0,1
111,3,3,4,2,13,111,0,5,4,4,0,1
152,6,5,2,7,12,160,0,17,6,6,0,1
176,9,9,8,3,32,177,0,11,4,4,0,1
19,3,3,0,4,8,17,0,8,6,6,0,1
41,3,3,2,0,11,40,0,1,1,1,0,1
9,3,3,6,8,19,149,0,154,9,9,0,1
18,2,2,2,0,8,16,0,8,6,6,0,1
39,4,4,3,4,12,35,0,0,0,0,0,1
3,3,3,1,1,0,2,0,3,2,2,0,1
10,2,2,0,1,3,9,0,1,1,1,0,1
0,0,0,0,0,0,0,0,1,1,1,0,1
0,0,0,0,0,0,0,0,1,1,1,0,1
0,0,0,0,0,0,0,0,3,3,3,0,1
0,0,0,0,0,0,0,0,1,1,1,0,1
0,0,0,0,0,0,0,0,1,1,1,0,1
0,0,0,0,0,0,0,0,1,1,1,0,1
0,0,0,0,0,0,0,0,1,1,1,0,1
0,0,0,0,0,0,0,0,3,2,2,0,1
0,0,0,0,0,0,0,0,1,1,1,0,1
0,0,0,0,0,0,0,0,1,1,1,0,1
0,0,0,0,0,0,0,0,1,1,1,0,1
0,0,0,0,0,0,0,0,2,2,2,0,1
0,0,0,0,0,0,0,0,1,1,1,0,1
0,0,0,0,0,0,0,0,1,1,1,0,1
0,0,0,0,0,0,0,0,2,2,2,0,1
0,0,0,0,0,0,0,0,1,1,1,0,1
0,0,0,0,0,0,0,0,1,1,1,0,1
0,0,0,0,0,0,0,0,2,2,2,0,1
0,0,0,0,0,0,0,0,1,1,1,0,1
0,0,0,0,0,0,0,0,1,1,1,0,1
0,0,0,0,0,0,0,0,2,2,2,0,1
0,0,0,0,0,0,0,0,4,4,3,0,1
0,0,0,0,0,0,0,0,2,2,2,0,1
0,0,0,0,0,0,0,0,2,2,2,0,1
11,2,2,0,2,5,10,0,3,3,3,0,1
0,0,0,0,0,0,0,0,2,2,2,0,1
0,0,0,0,0,0,0,0,5,5,4,0,1
122,7,9,2,2,26,111,0,0,0,0,0,1
13,2,2,0,2,5,12,0,3,3,3,0,1
32,7,7,2,4,14,26,0,6,5,5,0,1
50,4,4,4,0,11,48,0,1,1,1,0,1
48,6,6,2,4,12,42,0,1,1,1,0,1
33,5,5,2,2,7,28,0,5,5,5,0,1
